Customer_ID,Age,Income,Credit_Score,Investment_Returns,Risk_Level,Customer_Feedback
1001,53.0,85624,681,10.08,Medium,Average.
1002,29.0,85624,654,2.87,Medium,The app is [MASK].
1003,,85624,750,5.26,Medium,nan
1004,30.0,69662,689,2.07,High,nan
1005,25.0,35106,695,11.92,Low,Average.
1006,37.0,59925,710,6.21,Medium,The app is [MASK].
1007,35.0,55314,704,11.97,High,nan
1008,27.0,85132,674,11.97,Medium,nan
1009,,62583,602,7.92,Medium,The app is [MASK].
1010,25.0,74186,602,11.97,High,Fees are high.
1011,37.0,85624,667,6.72,High,Average.
1012,,81361,674,3.17,Low,nan
1013,33.0,85624,605,4.19,High,Great service!
1014,38.0,85624,760,2.89,Medium,Average.
1015,34.0,40022,751,6.56,Low,Great service!
1016,,62273,782,11.38,Low,The app is [MASK].
1017,60.0,85624,663,8.87,Low,Great service!
1018,34.0,52009,777,4.19,High,nan
1019,,83237,631,6.52,Medium,Great service!
1020,30.0,67523,602,11.97,Low,Great service!
1021,,58669,762,8.69,Medium,nan
1022,,37907,748,7.48,High,Great service!
1023,25.0,74484,719,10.93,High,Great service!
1024,,58069,645,10.55,Medium,Great service!
1025,,85624,720,10.46,Medium,Great service!
1026,26.0,76688,783,10.73,Low,The app is [MASK].
1027,25.0,85624,689,11.97,Medium,The app is [MASK].
1028,25.0,84263,645,9.65,Low,Average.
1029,60.0,78016,815,11.97,Medium,Fees are high.
1030,25.0,75487,710,11.97,Low,Great service!
1031,25.0,50100,659,5.87,Medium,Great service!
1032,60.0,70525,632,11.93,Low,Happy with the app.
1033,,28279,691,7.92,High,Happy with the app.
1034,29.0,85624,620,5.25,Low,Average.
1035,38.0,78873,821,2.81,High,Fees are high.
1036,25.0,78695,690,2.07,Medium,nan
1037,25.0,82678,761,6.88,Medium,Average.
1038,47.0,63017,762,11.66,Medium,Fees are high.
1039,28.0,45334,747,11.97,High,Great service!
1040,29.0,75460,701,10.03,High,Average.
