Loan_ID,Age,Annual_Income,Credit_Score,Loan_Amount,Interest_Rate,DTI_Ratio,Purpose,Statement,Is_Default,AI_Sentiment_Label,AI_Confidence,Sentiment_Risk_Score
bdd640fb-0667-4ad1-9c80-317fa3b1799d,61,39592,682,6639,19.44,14.8,Home Imp,My salary just increased so I can afford this loan.,0,positive,0.947860836982727,0
23b8c1e9-3924-46de-beb1-3b9046685257,26,102397,663,32651,4.18,8.75,Home Imp,Need cash fast to cover some gambling losses.,0,positive,0.49670520424842834,0
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,66,110181,660,40713,12.52,22.97,Business,Need cash fast to cover some gambling losses.,0,positive,0.49670520424842834,0
972a8469-1641-4f82-8b9d-2434e465e150,65,80392,654,27298,9.47,13.61,Business,My business is struggling but I hope this loan helps.,1,positive,0.6618829369544983,0
17fc695a-07a0-4a6e-8822-e8f36c031199,43,104131,749,22335,20.85,34.19,Education,I have a stable job and plan to pay this off early.,0,neutral,0.5154739618301392,0
9a1de644-815e-46d1-bb8f-aa1837f8a88b,56,63427,701,46198,16.8,39.47,Education,Overwhelmed by bills and need a quick fix.,0,negative,0.919330358505249,1
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,35,126327,651,23965,24.68,39.21,Debt Consolidation,Consolidating debt to reduce my overall monthly payments.,0,negative,0.7052075266838074,1
6b65a6a4-8b81-48f6-b38a-088ca65ed389,31,73520,691,28283,8.0,15.68,Debt Consolidation,Overwhelmed by bills and need a quick fix.,0,negative,0.919330358505249,1
47378190-96da-4dac-b2ff-5d2a386ecbe0,36,46417,671,35294,11.66,44.58,Education,I am currently between jobs but expect an offer soon.,1,neutral,0.8484305739402771,0
c241330b-01a9-471f-9e8a-774bcf36d58b,35,132715,580,7103,20.81,21.05,Debt Consolidation,Overwhelmed by bills and need a quick fix.,1,negative,0.919330358505249,1
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,41,52869,609,47954,14.23,40.39,Personal,I am very financially responsible and have savings.,1,neutral,0.8698418736457825,0
371ecd7b-27cd-4130-8722-9389571aa876,56,95644,684,22219,19.56,22.14,Education,Using this for home renovation which will increase asset value.,0,positive,0.7973698973655701,0
1a2a73ed-562b-4f79-8374-59eef50bea63,53,89686,741,10957,19.75,39.44,Home Imp,I have never missed a payment in 10 years.,0,negative,0.7025801539421082,1
5be6128e-18c2-4797-a142-ea7d17be3111,59,33326,645,30216,11.7,44.84,Education,I am currently between jobs but expect an offer soon.,1,neutral,0.8484305739402771,0
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,64,119466,646,12507,18.16,26.48,Business,Consolidating debt to reduce my overall monthly payments.,0,negative,0.7052075266838074,1
759cde66-bacf-43d0-8b1f-9163ce9ff57f,48,45730,664,34735,3.57,33.88,Business,My salary just increased so I can afford this loan.,0,positive,0.947860836982727,0
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,27,139100,647,45979,9.92,30.56,Education,Using this for home renovation which will increase asset value.,0,positive,0.7973698973655701,0
4b0dbb41-8d52-48f1-942c-3fe860e7a113,55,149977,665,39757,23.25,28.96,Personal,My business is struggling but I hope this loan helps.,1,positive,0.6618829369544983,0
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,36,32592,655,20785,22.38,42.88,Debt Consolidation,My salary just increased so I can afford this loan.,0,positive,0.947860836982727,0
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,70,41483,605,13414,17.68,42.87,Home Imp,I have a lot of other debts but I promise to pay.,1,neutral,0.8092361092567444,0
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,34,146754,720,40343,19.74,32.59,Business,Consolidating debt to reduce my overall monthly payments.,0,negative,0.7052075266838074,1
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,49,142914,617,38919,13.21,14.92,Debt Consolidation,Using this for home renovation which will increase asset value.,0,positive,0.7973698973655701,0
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,58,53864,594,5471,5.03,30.24,Home Imp,Consolidating debt to reduce my overall monthly payments.,1,negative,0.7052075266838074,1
7412b293-4729-4739-a14f-f3d719db3ad0,25,92391,678,20597,9.49,24.42,Education,My salary just increased so I can afford this loan.,0,positive,0.947860836982727,0
29a3b2e9-5d65-4441-9588-42dea2bc372f,57,86953,704,20925,20.37,37.3,Home Imp,Consolidating debt to reduce my overall monthly payments.,0,negative,0.7052075266838074,1
ab9099a4-35a2-40ae-9af3-05535ec42e08,48,78883,674,35606,22.07,7.17,Debt Consolidation,I am currently between jobs but expect an offer soon.,1,neutral,0.8484305739402771,0
aefcfad8-efc8-4849-b3aa-7efe4458a885,36,50112,654,17465,15.03,10.61,Home Imp,I have a stable job and plan to pay this off early.,0,neutral,0.5154739618301392,0
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,49,130909,661,41066,5.61,31.09,Education,Using this for home renovation which will increase asset value.,0,positive,0.7973698973655701,0
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,31,78269,642,36826,13.85,39.59,Debt Consolidation,I have a lot of other debts but I promise to pay.,0,neutral,0.8092361092567444,0
451b4cf3-6123-4df7-b656-af7229d4beef,37,146440,732,34819,9.63,32.86,Education,Using this for home renovation which will increase asset value.,0,positive,0.7973698973655701,0
